0013@@,2021-10-01,670,,,,,,,,,,,,,
0015@@,2021-10-03,1087,,,,,,,,,,,,,
0016@@,2021-10-03,1085,hungout,,,,,,,,,,,,
0017@@,2021-10-04,1201,,,,,,,,,,,,,
0018@@,2021-10-05,659,,,,,,,,,,,,,
0019@@,2021-10-06,515,hungout,,,,,,,,,,,,
0020@@,2021-10-07,853,,,,,,,,,,,,,
0021@@,2021-10-08,530,,,,,,,,,,,,,
0022@@,2021-10-09,288,,,,,,,,,,,,,
0023@@,2021-10-10,1583,,,,,,,,,,,,,
0024@@,2021-10-11,720,,,,,,,,,,,,,
0025@@,2021-10-12,515,hungout,,,,,,,,,,,,
0026@@,2021-10-12,854,,,,,,,,,,,,,
0027@@,2021-10-13,678,,,,,,,,,,,,,
0028@@,2021-10-15,786,,,,,,,,,,,,,
0029@@,2021-10-16,575,,,,,,,,,,,,,
0030@@,2021-10-17,516,,,,,,,,,,,,,
0031@@,2021-10-18,2388,,,,,,,,,,,,,
0033@@,2021-10-19,404,workcosts,,,,,,,,,,,,
0034@@,2021-10-19,1770,,,,,,,,,,,,,
0035@@,2021-10-20,1387,,,,,,,,,,,,,
0035@@,2021-10-20,103000,costs,yatin,,,,,,,,,,,
0035@@,2021-10-20,1912,costs,gas,,,,,,,,,,,
0035@@,2021-10-20,2425,costs,elec,,,,,,,,,,,
0036@@,2021-10-21,600,hungout,,,,,,,,,,,,
0037@@,2021-10-22,1860,,,,,,,,,,,,,
0038@@,2021-10-23,637,,,,,,,,,,,,,
0039@@,2021-10-24,1231,,,,,,,,,,,,,
0040@@,2021-10-25,92,,,,,,,,,,,,,
0041@@,2021-10-25,330,goods,,,,,,,,,,,,
0042@@,2021-10-26,3000,,,,,,,,,,,,,
0043@@,2021-10-28,1039,,,,,,,,,,,,,
0044@@,2021-10-29,1003,,,,,,,,,,,,,
0045@@,2021-10-29,330,goods,,,,,,,,,,,,
0046@@,2021-10-29,940,hungout,,,,,,,,,,,,
0047@@,2021-10-31,1005,,,,,,,,,,,,,
0048@@,2021-11-01,1096,,,,,,,,,,,,,
0049@@,2021-11-01,350,goods,,,,,,,,,,,,
0050@@,2021-11-02,578,,,,,,,,,,,,,
0051@@,2021-11-03,1203,,,,,,,,,,,,,
0052@@,2021-11-04,515,,,,,,,,,,,,,
0053@@,2021-11-05,1054,,,,,,,,,,,,,
0054@@,2021-11-05,980,eatingout,,,,,,,,,,,,
0055@@,2021-11-05,110,hungout,,,,,,,,,,,,
0056@@,2021-11-06,234,goods,,,,,,,,,,,,
0057@@,2021-11-07,370,,,,,,,,,,,,,
0058@@,2021-11-08,280,,,,,,,,,,,,,
0059@@,2021-11-09,1941,,,,,,,,,,,,,
0060@@,2021-11-10,624,,,,,,,,,,,,,
0061@@,2021-11-11,8775,goods,,,,,,,,,,,,
0062@@,2021-11-11,600,hungout,,,,,,,,,,,,
0063@@,2021-11-12,1021,,,,,,,,,,,,,,
0064@@,2021-11-12,625,hungout,,,,,,,,,,,,
0065@@,2021-11-12,2200,goods,,,,,,,,,,,,
0066@@,2021-11-13,1800,eatingout,,,,,,,,,,,,,
0067@@,2021-11-15,1165,,,,,,,,,,,,,
0068@@,2021-11-16,2330,hospital,,,,,,,,,,,,,
0070@@,2021-11-17,999,,,,,,,,,,,,,
0071@@,2021-11-17,360,hungout,,,,,,,,,,,,
0072@@,2021-11-19,360,hungout,,,,,,,,,,,,
0073@@,2021-11-19,414,,,,,,,,,,,,,
0075@@,2021-11-20,562,,,,,,,,,,,,,
0076@@,2021-11-20,1760,hospital,,,,,,,,,,,,
0035@@,2021-11-20,103000,costs,yatin,,,,,,,,,,,
0035@@,2021-11-20,2080,costs,gas,,,,,,,,,,,
0077@@,2021-11-21,548,,,,,,,,,,,,,
0078@@,2021-11-22,690,,,,,,,,,,,,,
0079@@,2021-11-23,1240,,,,,,,,,,,,,,
0080@@,2021-11-23,800,etc,test,,,,,,,,,,,
0081@@,2021-11-23,320,hungout,,,,,,,,,,,,
0082@@,2021-11-25,101,,,,,,,,,,,,,
0083@@,2021-11-26,1747,,,,,,,,,,,,,
0084@@,2021-11-27,753,,,,,,,,,,,,,
0085@@,2021-11-29,1397,,,,,,,,,,,,,
0086@@,2021-11-29,820,hungout,,,,,,,,,,,,
0087@@,2021-11-30,424,,,,,,,,,,,,,
0088@@,2021-12-01,1364,,,,,,,,,,,,,
0089@@,2021-12-02,535,,,,,,,,,,,,,
0090@@,2021-12-02,515,hungout,,,,,,,,,,,,
0091@@,2021-12-03,880,hungout,,,,,,,,,,,,
0092@@,2021-12-03,530,,,,,,,,,,,,,
0093@@,2021-12-03,958,goods,sd,,,,,,,,,,,
0094@@,2021-12-04,440,hungout,,,,,,,,,,,,
0095@@,2021-12-06,1630,,,,,,,,,,,,,
0096@@,2021-12-07,1298,,,,,,,,,,,,,
0097@@,2021-12-08,940,,,,,,,,,,,,,
0098@@,2021-12-10,420,hungout,,,,,,,,,,,,
0099@@,2021-12-11,977,,,,,,,,,,,,,
0100@@,2021-12-13,830,,,,,,,,,,,,,
0101@@,2021-12-14,921,,,,,,,,,,,,,
0103@@,2021-12-15,321,,,,,,,,,,
0104@@,2021-12-15,925,hungout,,,,,,,,,,,,
0105@@,2021-12-16,1785,,,,,,,,,,,,,
0106@@,2021-12-17,1423,,,,,,,,,,,,,
0108@@,2021-12-19,1481,,,,,,,,,,,,,
0109@@,2021-12-20,604,,,,,,,,,,,,,
0110@@,2021-12-20,1085,hungout,,,,,,,,,,,,
0035@@,2021-12-20,103000,costs,yatin,,,,,,,,,,,
0035@@,2021-12-20,2263,costs,gas,,,,,,,,,,
0111@@,2021-12-21,184,,,,,,,,,,,,,
0112@@,2021-12-22,800,eatingout,,,,,,,,,,,,
0113@@,2021-12-23,897,,,,,,,,,,,,,
0114@@,2021-12-24,839,,,,,,,,,,,,,
0115@@,2021-12-26,955,,,,,,,,,,,,,
0116@@,2021-12-27,1100,goods,,,,,,,,,,,,
0117@@,2021-12-27,480,hungout,,,,,,,,,,,,
0118@@,2021-12-27,1111,,,,,,,,,,,,,
0119@@,2021-12-28,480,hungout,,,,,,,,,,,,
0120@@,2021-12-28,990,hungout,,,,,,,,,,,,
0121@@,2021-12-29,480,hungout,,,,,,,,,,,,
0122@@,2021-12-29,889,,,,,,,,,,,,,
0123@@,2021-12-31,1988,,,,,,,,,,,,,
0124@@,2022-01-04,1002,,,,,,,,,,,,,
0125@@,2022-01-04,519,,,,,,,,,,,,
0126@@,2022-01-06,1620,,,,,,,,,,,,,
0127@@,2022-01-07,420,hungout,,,,,,,,,,,,,
0128@@,2022-01-09,641,,,,,,,,,,,,,
0129@@,2022-01-11,515,hungout,,,,,,,,,,,,
0130@@,2022-01-11,1000,eatingout,,,,,,,,,,,,
0131@@,2022-01-11,444,,,,,,,,,,,,,
0132@@,2022-01-13,1715,,,,,,,,,,,,,
0135@@,2022-01-14,1067,,,,,,,,,,,,,
0136@@,2022-01-15,556,,,,,,,,,,,,,
0137@@,2022-01-16,807,,,,,,,,,,,,,
0138@@,2022-01-17,1236,,,,,,,,,,,,,
0139@@,2022-01-18,1540,goods,,,,,,,,,,,,
0140@@,2022-01-18,549,,,,,,,,,,,,,
0141@@,2022-01-19,406,,,,,,,,,,,,,
0142@@,2022-01-19,975,hungout,,,,,,,,,,,,
0143@@,2022-01-20,999,,,,,,,,,,,,,
0035@@,2022-01-20,103000,costs,yatin,,,,,,,,,,,
0035@@,2022-01-20,1714,costs,gas,,,,,,,,,,,
0144@@,2022-01-21,123,,,,,,,,,,,,,
0145@@,2022-01-21,700,hungout,,,,,,,,,,,,
0146@@,2022-01-23,709,,,,,,,,,,,,,
0147@@,2022-01-25,842,,,,,,,,,,,,,
